similar_parent,similar_child
"The Hilbert transform of horizontal gaze position during natural image
  classification by saccades",Inability to pursue nonrigid motion produces instability of spatial perception.
"The Hilbert transform of horizontal gaze position during natural image
  classification by saccades",Inability to pursue nonrigid motion produces instability of spatial perception.
"Saccade learning with concurrent cortical and subcortical basal ganglia
  loops","Towards Lightweight Transformer via Group-wise Transformation for
  Vision-and-Language Tasks"
"Saccade learning with concurrent cortical and subcortical basal ganglia
  loops",Agglomerative Attention
"Saccade learning with concurrent cortical and subcortical basal ganglia
  loops",Agglomerative Attention
Image Specificity,Saccadic Predictive Vision Model with a Fovea
"Computational Model for Predicting Visual Fixations from Childhood to
  Adulthood",Agglomerative Attention
"Computational Model for Predicting Visual Fixations from Childhood to
  Adulthood",Agglomerative Attention
"Computational Model for Predicting Visual Fixations from Childhood to
  Adulthood","Is Attention All What You Need? -- An Empirical Investigation on
  Convolution-Based Active Memory and Self-Attention"
Fast-Slow Recurrent Neural Networks,"A Stochastic Optimal Control Model with Internal Feedback and Velocity
  Tracking for Saccades"
Fast-Slow Recurrent Neural Networks,Early visual modulation and selection predict saccadic timing during visual search: An ERP study.
Fast-Slow Recurrent Neural Networks,"Eye movement simulation and detector creation to reduce laborious
  parameter adjustments"
Saccadic Predictive Vision Model with a Fovea,"Non-I.I.D. Multi-Instance Learning for Predicting Instance and Bag
  Labels using Variational Auto-Encoder"
Saccadic Predictive Vision Model with a Fovea,"Non-I.I.D. Multi-Instance Learning for Predicting Instance and Bag
  Labels using Variational Auto-Encoder"
"Searchers adjust their eye movement dynamics to the target
  characteristics in natural scenes",Coupling of saccade plans to endogenous attention during urgent choices.
EleAtt-RNN: Adding Attentiveness to Neurons in Recurrent Neural Networks,A General Survey on Attention Mechanisms in Deep Learning
EleAtt-RNN: Adding Attentiveness to Neurons in Recurrent Neural Networks,An Empirical Study of Spatial Attention Mechanisms in Deep Networks
EleAtt-RNN: Adding Attentiveness to Neurons in Recurrent Neural Networks,Agglomerative Attention
EleAtt-RNN: Adding Attentiveness to Neurons in Recurrent Neural Networks,Agglomerative Attention
EleAtt-RNN: Adding Attentiveness to Neurons in Recurrent Neural Networks,"Bridging the Gap: Gaze Events as Interpretable Concepts to Explain Deep
  Neural Sequence Models"
Agglomerative Attention,Fusion Recurrent Neural Network
"Rethinking Noisy Label Models: Labeler-Dependent Noise with Adversarial
  Awareness",A General Survey on Attention Mechanisms in Deep Learning
"Rethinking Noisy Label Models: Labeler-Dependent Noise with Adversarial
  Awareness","Generic Attention-model Explainability for Interpreting Bi-Modal and
  Encoder-Decoder Transformers"
Attention in Attention Network for Image Super-Resolution,Recurrent Neural Network from Adder's Perspective: Carry-lookahead RNN
"Retinal ""sweet spot"" for myopia treatment.",Inability to pursue nonrigid motion produces instability of spatial perception.
"Theoretical Proportion Label Perturbation for Learning from Label
  Proportions in Large Bags",MoH: Multi-Head Attention as Mixture-of-Head Attention
Inability to pursue nonrigid motion produces instability of spatial perception.,Inability to pursue nonrigid motion produces instability of spatial perception.
